"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","hodnocene_obdobi_od","hodnocene_obdobi_do","oop","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","pracoviste","ind_nadr","metodika"
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",21,102,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",22,1010,NA,"volající samci","nehodnocen","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",80,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",30,NA,50,"% lokalit v dobrém stavu","neznámý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",31,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",32,0,50,"% lokalit v dobrém stavu","špatný","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",33,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",34,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",36,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
"Druh","CZ0213785","Horní solopyský rybník","Bombina bombina",1188,2022-05-04,2024-07-05,"Krajský úøad Støedoèeského kraje",37,100,50,"% lokalit v dobrém stavu","dobrý","neznámý",2025-09-08,"RP Støední Èechy",NA,19269
