ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;POP_POCET;kvetoucí a plodné trsy;min;minmax;ano;lok;100;alespoň 100 kvetoucí a plodné trsy;0;0
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;POP_POSKPERC;počet jedinců;max;minmax;ne;lok;1;nejvýš 1 počet jedinců;0;1
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;POP_POSKPOC;počet typů poškození rostlin;max;minmax;ne;lok;2;nejvýš 2 počet typů poškození rostlin;0;1
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;POP_TREND;posledních dvou let s menším počtem jedinců než je referenční hodnota;max;minmax;ano;lok;1;nejvýš 1 posledních dvou let s menším počtem jedinců než je referenční hodnota;0;1
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;STA_POKRDREV;NA;val;val;ne;lok;0;0, do 25 %, 25-50 %;neznámý;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;STA_POKRSTAR;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;STA_POKRYVNOSTEXPANZNI;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Lokace00048;Lokace00048;6946b;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-29;2024-07-29;13062833;2024-07-29;0;STA_POKRYVNOSTINVAZNI;NA;val;val;ne;lok;0;0;neznámý;NA
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;POP_POCET;kvetoucí a plodné trsy;min;minmax;ano;lok;100;alespoň 100 kvetoucí a plodné trsy;0;0
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;POP_POSKPERC;počet jedinců;max;minmax;ne;lok;1;nejvýš 1 počet jedinců;0;1
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;POP_POSKPOC;počet typů poškození rostlin;max;minmax;ne;lok;2;nejvýš 2 počet typů poškození rostlin;0;1
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;POP_TREND;posledních dvou let s menším počtem jedinců než je referenční hodnota;max;minmax;ano;lok;1;nejvýš 1 posledních dvou let s menším počtem jedinců než je referenční hodnota;0;1
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;STA_POKRDREV;NA;val;val;ne;lok;0;0, do 25 %, 25-50 %;neznámý;NA
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;STA_POKRSTAR;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;STA_POKRYVNOSTEXPANZNI;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2022;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily, Silnice bez názvu;Prášily, Silnice bez názvu;6846c, 6846d;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;NA;NA;11975714;2022-08-23;0;STA_POKRYVNOSTINVAZNI;NA;val;val;ne;lok;0;0;neznámý;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;POP_POCET;kvetoucí a plodné trsy;min;minmax;ano;lok;100;alespoň 100 kvetoucí a plodné trsy;0;0
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;POP_POSKPERC;počet jedinců;max;minmax;ne;lok;1;nejvýš 1 počet jedinců;0;1
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;POP_POSKPOC;počet typů poškození rostlin;max;minmax;ne;lok;2;nejvýš 2 počet typů poškození rostlin;0;1
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;POP_TREND;posledních dvou let s menším počtem jedinců než je referenční hodnota;max;minmax;ano;lok;1;nejvýš 1 posledních dvou let s menším počtem jedinců než je referenční hodnota;0;1
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;STA_POKRDREV;NA;val;val;ne;lok;0;0, do 25 %, 25-50 %;neznámý;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;STA_POKRSTAR;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;STA_POKRYVNOSTEXPANZNI;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2024;CZ0314024;Šumava;Campanula bohemica;Cévnaté rostliny;Prášily-Sušice 1;Prášily-Sušice 1;6846a;RP Jižní Čechy;Krajský úřad Jihočeského kraje, Krajský úřad Plzeňského kraje, Správa NP Šumava;2024-07-08;2024-07-08;13062819;2024-07-08;0;STA_POKRYVNOSTINVAZNI;NA;val;val;ne;lok;0;0;neznámý;NA
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;POP_POCET;kvetoucí a plodné trsy;min;minmax;ano;lok;100;alespoň 100 kvetoucí a plodné trsy;0;0
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;POP_POSKPERC;počet jedinců;max;minmax;ne;lok;1;nejvýš 1 počet jedinců;0;1
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;POP_POSKPOC;počet typů poškození rostlin;max;minmax;ne;lok;2;nejvýš 2 počet typů poškození rostlin;0;1
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;POP_TREND;posledních dvou let s menším počtem jedinců než je referenční hodnota;max;minmax;ano;lok;1;nejvýš 1 posledních dvou let s menším počtem jedinců než je referenční hodnota;0;1
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;STA_POKRDREV;NA;val;val;ne;lok;0;0, do 25 %, 25-50 %;neznámý;NA
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;STA_POKRSTAR;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;STA_POKRYVNOSTEXPANZNI;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2012;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;124862 - Rokytno v Krkonoších;124862 - Rokytno v Krkonoších;5259a;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2012-09-05;2012-09-05;9495235;2012-09-05;0;STA_POKRYVNOSTINVAZNI;NA;val;val;ne;lok;0;0;neznámý;NA
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;POP_POCET;kvetoucí a plodné trsy;min;minmax;ano;lok;100;alespoň 100 kvetoucí a plodné trsy;0;0
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;POP_POSKPERC;počet jedinců;max;minmax;ne;lok;1;nejvýš 1 počet jedinců;0;1
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;POP_POSKPOC;počet typů poškození rostlin;max;minmax;ne;lok;2;nejvýš 2 počet typů poškození rostlin;0;1
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;POP_TREND;posledních dvou let s menším počtem jedinců než je referenční hodnota;max;minmax;ano;lok;1;nejvýš 1 posledních dvou let s menším počtem jedinců než je referenční hodnota;0;1
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;STA_POKRDREV;NA;val;val;ne;lok;0;0, do 25 %, 25-50 %;neznámý;NA
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;STA_POKRSTAR;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;STA_POKRYVNOSTEXPANZNI;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2019;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;1412;Zadní Rennerovky;5260c;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2019-08-05;2019-08-05;11782748;2019-08-05;0;STA_POKRYVNOSTINVAZNI;NA;val;val;ne;lok;0;0;neznámý;NA
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;POP_POCET;kvetoucí a plodné trsy;min;minmax;ano;lok;100;alespoň 100 kvetoucí a plodné trsy;0;0
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;POP_POSKPERC;počet jedinců;max;minmax;ne;lok;1;nejvýš 1 počet jedinců;0;1
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;POP_POSKPOC;počet typů poškození rostlin;max;minmax;ne;lok;2;nejvýš 2 počet typů poškození rostlin;0;1
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;POP_TREND;posledních dvou let s menším počtem jedinců než je referenční hodnota;max;minmax;ano;lok;1;nejvýš 1 posledních dvou let s menším počtem jedinců než je referenční hodnota;0;1
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;STA_POKRDREV;NA;val;val;ne;lok;0;0, do 25 %, 25-50 %;neznámý;NA
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;STA_POKRSTAR;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;STA_POKRYVNOSTEXPANZNI;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2023;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33240024;Strážné_33240024;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2023-05-09;2023-05-09;12816247;2023-05-09;0;STA_POKRYVNOSTINVAZNI;NA;val;val;ne;lok;0;0;neznámý;NA
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;POP_POCET;kvetoucí a plodné trsy;min;minmax;ano;lok;100;alespoň 100 kvetoucí a plodné trsy;0;0
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;POP_POSKPERC;počet jedinců;max;minmax;ne;lok;1;nejvýš 1 počet jedinců;0;1
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;POP_POSKPOC;počet typů poškození rostlin;max;minmax;ne;lok;2;nejvýš 2 počet typů poškození rostlin;0;1
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;POP_TREND;posledních dvou let s menším počtem jedinců než je referenční hodnota;max;minmax;ano;lok;1;nejvýš 1 posledních dvou let s menším počtem jedinců než je referenční hodnota;0;1
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;STA_POKRDREV;NA;val;val;ne;lok;0;0, do 25 %, 25-50 %;neznámý;NA
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;STA_POKRSTAR;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;STA_POKRYVNOSTEXPANZNI;NA;val;val;ne;lok;0;0, do 25 %;neznámý;NA
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241238;Dolní Dvůr_33241238;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816249;2022-08-11;0;STA_POKRYVNOSTINVAZNI;NA;val;val;ne;lok;0;0;neznámý;NA
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241252;Dolní Dvůr_33241252;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816245;2022-08-11;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0
2022;CZ0524044;Krkonoše;Campanula bohemica;Cévnaté rostliny;33241252;Dolní Dvůr_33241252;5359b;RP Liberecko;AOPK ČR - RP Liberecko, Správa KRNAP, Krajský úřad Libereckého kraje;2022-08-11;2022-08-11;12816245;2022-08-11;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;3;NA
