ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2022;CZ0410150;Soos;Euphydryas aurinia;Motýli;Dvorek;Dvorek;54,"5840d", 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11967136;2022-08-11;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;8639783
2022;CZ0410150;Soos;Euphydryas aurinia;Motýli;Dvorek;Dvorek;54,"5840d", 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11967136;2022-08-11;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;8639783
2022;CZ0410150;Soos;Euphydryas aurinia;Motýli;Dvorek;Dvorek;54,"5840d", 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11967136;2022-08-11;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;8;0;8639783
2022;CZ0410150;Soos;Euphydryas aurinia;Motýli;Dvorek;Dvorek;54,"5840d", 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11967136;2022-08-11;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;8639783
2022;CZ0410150;Soos;Euphydryas aurinia;Motýli;Dvorek;Dvorek;54,"5840d", 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11967136;2022-08-11;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA;8639783
2022;CZ0410150;Soos;Euphydryas aurinia;Motýli;Dvorek;Dvorek;54,"5840d", 5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;NA;NA;11967136;2022-08-11;0;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;neznámý;NA;8639783
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, jih;EVL Soos, jih;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262141;2020-08-22;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;7635596
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, jih;EVL Soos, jih;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262141;2020-08-22;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;7635596
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, jih;EVL Soos, jih;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262141;2020-08-22;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;3;0;7635596
2020;CZ0410150;Soos;Euphydryas aurinia;Motýli;EVL Soos, jih;EVL Soos, jih;5840d;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2020-08-22;2020-08-22;11262141;2020-08-22;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;7635596
