"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","hodnocene_obdobi_od","hodnocene_obdobi_do","oop","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","pracoviste","ID_ND_AKCE"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","PRESENCE_P1a",46.15,30,"% lokalit v dobrém stavu","dobrý","zhoršující se",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","POCET_MIN",26,NA,"adulti","nehodnocen","zhoršující se",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","POCET_MAX",140,NA,"adulti","nehodnocen","zhoršující se",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","POPULACE_P1b",85.71,30,"% lokalit v dobrém stavu","dobrý","zlepšující se",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","REPRODUKCE_P2",23.08,30,"% lokalit v dobrém stavu","špatný","zhoršující se",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","ZTRATA_BIOTOPU_P3",100,30,"% lokalit v dobrém stavu","dobrý","setrvalý",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","TLAK_RYB_P4",84.62,30,"% lokalit v dobrém stavu","dobrý","zhoršující se",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","MANIPULACE_HLADINOU_P5",100,30,"% lokalit v dobrém stavu","dobrý","setrvalý",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","VYSYCHANI_P6",100,30,"% lokalit v dobrém stavu","dobrý","setrvalý",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","VEGETACE_P7",46.15,30,"% lokalit v dobrém stavu","dobrý","zhoršující se",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
"Druh","CZ0213086","Aglaia","Triturus cristatus",1166,2022-05-17,2024-08-02,"Krajský úøad Støedoèeského kraje","PRUHLEDNOST_P8",100,30,"% lokalit v dobrém stavu","dobrý","setrvalý",2025-04-10,"RP Støední Èechy","12059962 || 13123362 || 12732085 || 12732107 || 13123165 || 12059992 || 13123393 || 12732136 || 13123311 || 13123190 || 12732094 || 12732117 || 13123251 || 12732503 || 13123247 || 13123310 || 13123357 || 13123153 || 13123143 || 12732059 || 12059988 || 12059970 || 12732108 || 12732060 || 12731981 || 13123221 || 13123130 || 12059981 || 12059920 || 13123213 || 13123139 || 12059946 || 12732086 || 12059934 || 12801230 || 12059948 || 12060020 || 13123322 || 12732036 || 12060001 || 12059993 || 12732109 || 13123199 || 12059949 || 12059963 || 12059936 || 12059953 || 13123372 || 12731982 || 13123295 || 12059990 || 12060023 || 13123262 || 13123256"
